customer_id,segment_id,segment_name,assignment_confidence,distance_to_center,snapshot_date,age,region,relationship_months,avg_monthly_inflow_6m,salary_inflow_ratio,inflow_cv_6m,avg_balance_6m,min_balance_6m,avg_monthly_spend_6m,monthly_txn_count_6m,digital_txn_ratio,cash_withdrawal_ratio,essential_spend_ratio,discretionary_spend_ratio,travel_spend_ratio,education_spend_ratio,business_merchant_ratio,investment_contribution_ratio,loan_balance,credit_card_utilisation,days_since_last_txn,monthly_app_logins_3m,products_held,overdraft_events_6m,late_payment_events_12m
C00001,2,Emerging Digital Everyday,0.5403153819531022,1.9611756454703007,2026-06-30,23,Other,40,2810,0.791,0.256,1711,308,2658,60,0.962,0.139,0.437,0.356,0.039,0.073,0.062,0.0,10227,0.226,5,22,3,1,0
C00002,6,Stable Salary Builders,0.6070592024198447,1.4658008412707364,2026-06-30,57,Waikato,77,5709,0.794,0.139,19017,8676,2466,58,0.816,0.032,0.522,0.213,0.029,0.054,0.059,0.068,0,0.219,2,10,4,0,0
C00003,2,Emerging Digital Everyday,0.5103060418687546,2.143218911526938,2026-06-30,22,Bay of Plenty,54,2279,0.832,0.292,5319,1645,2121,67,0.911,0.019,0.405,0.392,0.071,0.102,0.082,0.02,5788,0.277,4,21,4,0,0
C00004,3,High Spend Credit Active,0.5267121544084099,2.0245097456134493,2026-06-30,33,Waikato,73,9502,0.676,0.184,12315,2357,7964,85,0.946,0.007,0.362,0.477,0.107,0.028,0.083,0.0,124850,0.604,1,34,6,1,0
C00005,6,Stable Salary Builders,0.5590750830537432,1.7076176292116803,2026-06-30,27,Waikato,75,6372,0.845,0.199,8598,4346,2935,58,0.821,0.056,0.503,0.377,0.05,0.107,0.022,0.101,62237,0.227,2,19,4,0,0
C00006,6,Stable Salary Builders,0.5215296934781272,1.9117711045258365,2026-06-30,45,Canterbury,102,6282,0.976,0.05,16249,8719,4105,73,0.799,0.001,0.431,0.301,0.059,0.071,0.06,0.119,150347,0.068,6,25,4,0,0
C00007,3,High Spend Credit Active,0.4636954380563143,2.426904459343475,2026-06-30,34,Canterbury,59,4940,0.631,0.198,7883,1206,3867,101,0.97,0.066,0.418,0.457,0.079,0.041,0.119,0.047,73163,0.451,2,21,2,1,0
C00008,3,High Spend Credit Active,0.5633956327302797,1.8118974184250545,2026-06-30,39,Auckland,81,6839,0.73,0.258,14623,1728,5919,86,1.0,0.143,0.433,0.401,0.081,0.053,0.092,0.085,0,0.605,2,33,4,1,0
C00009,1,Affluent Investors,0.5523092356719315,1.8734968697785341,2026-06-30,49,Other,169,15555,0.595,0.112,120758,84282,4699,45,0.774,0.0,0.453,0.357,0.165,0.062,0.121,0.263,175785,0.012,6,20,7,0,0
C00010,1,Affluent Investors,0.5134044865891088,2.1040174240216913,2026-06-30,50,Canterbury,172,12095,0.61,0.162,64829,39202,2871,48,0.751,0.08,0.459,0.347,0.116,0.05,0.115,0.238,246405,0.176,6,6,7,0,0
